Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 1830, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:26:38
step 1840, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:26:55
step 1850, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:27:12
step 1860, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:27:30
step 1870, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:27:47
step 1880, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:28:04
step 1890, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:28:22
step 1900, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:28:42
step 1910, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:28:59
step 1920, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:29:17
step 1930, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:29:35
step 1940, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:29:52
step 1950, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:30:09
step 1960, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:30:26
step 1970, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:30:42
step 1980, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:30:58
step 1990, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:31:15
step 2000, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:31:32
step 2010, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:31:50
step 2020, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:32:07
step 2030, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:32:24
step 2040, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:32:42
step 2050, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:32:59
step 2060, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:33:18
step 2070, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:33:35
step 2080, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:33:53
step 2090, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:34:11
step 2100, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:34:29
step 2110, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:34:46
step 2120, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:35:04
step 2130, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:35:21
step 2140, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:35:37
step 2150, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:35:55
step 2160, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:36:13
step 2170, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:36:32
step 2180, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:36:51
step 2190, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:37:09
step 2200, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:37:29
step 2210, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:37:46
step 2220, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:38:03
step 2230, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:38:21
step 2240, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:38:39
step 2250, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:38:57
step 2260, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:39:16
step 2270, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:39:33
step 2280, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:39:49
step 2290, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:40:06
step 2300, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:40:25
step 2310, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:40:42
step 2320, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:40:59
step 2330, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:41:19
step 2340, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:41:37
step 2350, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:41:54
step 2360, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:42:12
step 2370, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:42:31
step 2380, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:42:51
step 2390, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:43:10
step 2400, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:43:27
