Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 2240, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:46
step 2250, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:54
step 2260, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:01
step 2270, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:09
step 2280, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:16
step 2290, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:24
step 2300, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:31
step 2310, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:39
step 2320, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:46
step 2330, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:46:54
step 2340, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:02
step 2350, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:09
step 2360, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:17
step 2370, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:24
step 2380, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:32
step 2390, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:39
step 2400, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:47
step 2410, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:47:55
step 2420, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:02
step 2430, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:09
step 2440, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:17
step 2450, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:25
step 2460, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:32
step 2470, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:40
step 2480, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:47
step 2490, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:48:55
step 2500, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:02
step 2510, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:10
step 2520, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:17
step 2530, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:25
step 2540, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:32
step 2550, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:40
step 2560, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:48
step 2570, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:49:55
step 2580, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:03
step 2590, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:10
step 2600, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:18
step 2610, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:25
step 2620, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:33
step 2630, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:40
step 2640, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:48
step 2650, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:50:55
step 2660, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:03
step 2670, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:10
step 2680, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:18
step 2690, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:25
step 2700, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:33
step 2710, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:41
step 2720, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:49
step 2730, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:51:57
step 2740, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:04
step 2750, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:12
step 2760, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:20
step 2770, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:27
step 2780, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:35
step 2790, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:42
step 2800, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:50
step 2810, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:52:57
step 2820, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:05
step 2830, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:12
step 2840, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:20
step 2850, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:28
step 2860, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:35
step 2870, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:43
step 2880, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:50
step 2890, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:53:58
step 2900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:05
step 2910, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:13
step 2920, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:20
step 2930, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:28
step 2940, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:36
step 2950, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:43
step 2960, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:50
step 2970, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:54:58
step 2980, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:55:06
step 2990, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:55:13
step 3000, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:55:21
